title,company,location,region,employment_type,job_id,posted_date,apply_url,scraped_at,skills
Data Scientist,FEGA & Schmitt Elektrogroßhandel GmbH,"Ansbach, Mittelfranken",Bayern,,16258-0064612468-S,2026-06-02,https://www.arbeitsagentur.de/jobsuche/jobdetail/16258-0064612468-S,2026-06-06 22:29:41,"{""Programming Languages"": [""r"", ""python"", ""sql""], ""ML & AI Frameworks"": [""scikit-learn"", ""tensorflow"", ""pytorch""], ""Data & Analytics"": [""pandas"", ""numpy"", ""tableau""], ""Data Science Skills"": [""machine learning"", ""statistik"", ""deep learning""]}"
Data Scientist,Hays Professional Solutions GmbH,,Berlin,,13319-877206/1_610331LS-S,2026-05-27,https://www.arbeitsagentur.de/jobsuche/jobdetail/13319-877206/1_610331LS-S,2026-06-06 22:29:41,"{""Programming Languages"": [""r"", ""python"", ""sql""], ""ML & AI Frameworks"": [""scikit-learn"", ""tensorflow"", ""pytorch""], ""Data & Analytics"": [""pandas"", ""numpy"", ""tableau""], ""Data Science Skills"": [""machine learning"", ""statistik"", ""deep learning""]}"
Data Scientist,quo data GmbH Qualitätsmanagement und Statistik,Dresden,Sachsen,,10000-1206481696-S,2026-06-01,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1206481696-S,2026-06-06 22:29:41,"{""Data Science Skills"": [""statistik"", ""machine learning"", ""deep learning""], ""Programming Languages"": [""python"", ""r"", ""sql""], ""ML & AI Frameworks"": [""scikit-learn"", ""tensorflow"", ""pytorch""], ""Data & Analytics"": [""pandas"", ""numpy"", ""tableau""]}"
Data Scientist,advanced engineering GmbH,Landsberg am Lech,Bayern,,12288-4805928981-S,2026-06-05,https://www.arbeitsagentur.de/jobsuche/jobdetail/12288-4805928981-S,2026-06-06 22:29:41,"{""Programming Languages"": [""r"", ""python"", ""sql""], ""ML & AI Frameworks"": [""scikit-learn"", ""tensorflow"", ""pytorch""], ""Data & Analytics"": [""pandas"", ""numpy"", ""tableau""], ""Data Science Skills"": [""machine learning"", ""statistik"", ""deep learning""]}"
Informatiker/in,Rheinland Kraftstoff GmbH,Gelsenkirchen,Nordrhein-Westfalen,,10001-1003031136-S,2026-05-07,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003031136-S,2026-06-06 22:29:41,"{""Programming Languages"": [""r"", ""java"", ""python"", ""sql""], ""Cloud & DevOps"": [""git"", ""docker"", ""rest api""]}"
Datenbankentwickler/in,SCHICKLER Unternehmensberatung,Hamburg,Hamburg,,13644-262060-S,2026-06-01,https://www.arbeitsagentur.de/jobsuche/jobdetail/13644-262060-S,2026-06-06 22:29:41,"{""Programming Languages"": [""r"", ""sql""], ""Data & Analytics"": [""power bi"", ""tableau""]}"
Datenbankentwickler/in,lise GmbH,Köln,Nordrhein-Westfalen,,13644-297872-S,2026-06-01,https://www.arbeitsagentur.de/jobsuche/jobdetail/13644-297872-S,2026-06-06 22:29:41,"{""Programming Languages"": [""r"", ""sql""], ""Data & Analytics"": [""power bi"", ""tableau""]}"
Datenbankentwickler/in,CTcon,Frankfurt am Main,Hessen,,13644-47175-S,2026-06-01,https://www.arbeitsagentur.de/jobsuche/jobdetail/13644-47175-S,2026-06-06 22:29:41,"{""Programming Languages"": [""r"", ""sql""], ""Data & Analytics"": [""power bi"", ""tableau""]}"
Data Scientist,Josef WITT GmbH,Weiden in der Oberpfalz,Bayern,,10001-1002106290-S,2026-05-28,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1002106290-S,2026-06-06 22:29:41,"{""Programming Languages"": [""python"", ""r"", ""sql""], ""ML & AI Frameworks"": [""scikit-learn"", ""tensorflow"", ""pytorch""], ""Data & Analytics"": [""pandas"", ""numpy"", ""tableau""], ""Data Science Skills"": [""machine learning"", ""statistik"", ""deep learning""]}"
Informatiker/in,Universität Trier,Trier,Rheinland-Pfalz,,14225-f5d10af170fb8c49-S,2026-06-04,https://www.arbeitsagentur.de/jobsuche/jobdetail/14225-f5d10af170fb8c49-S,2026-06-06 22:29:41,"{""Programming Languages"": [""r"", ""java"", ""python"", ""sql""], ""Cloud & DevOps"": [""git"", ""docker"", ""rest api""]}"
