title,company,location,region,employment_type,job_id,posted_date,apply_url,scraped_at,description
Ozeanograf/in,Helmholtz-Zentrum hereon GmbH,Geesthacht,Schleswig-Holstein,,14225-550d78f2e1883e0b-S,2026-06-05,https://www.arbeitsagentur.de/jobsuche/jobdetail/14225-550d78f2e1883e0b-S,2026-06-06 22:29:41,
Mathematiker/in,ERGO Group AG,Düsseldorf,Nordrhein-Westfalen,,14225-fe059cc7baaacc05-S,2026-06-01,https://www.arbeitsagentur.de/jobsuche/jobdetail/14225-fe059cc7baaacc05-S,2026-06-06 22:29:41,
Data Scientist,Landesrechnungshof Nordrhein-Westfalen,Düsseldorf,Nordrhein-Westfalen,,13243-SDE-99953-JB-S,2026-06-05,https://www.arbeitsagentur.de/jobsuche/jobdetail/13243-SDE-99953-JB-S,2026-06-06 22:29:41,
Physiker/in,Heraeus Quarzglas Bitterfeld GmbH & Co. KG,Bitterfeld-Wolfen,Sachsen-Anhalt,,14225-4428944d5177cd28-S,2026-06-01,https://www.arbeitsagentur.de/jobsuche/jobdetail/14225-4428944d5177cd28-S,2026-06-06 22:29:41,
Data Scientist,Deutsche Telekom AG,Darmstadt,Hessen,,12444-563465370092216-S,2026-05-29,https://www.arbeitsagentur.de/jobsuche/jobdetail/12444-563465370092216-S,2026-06-06 22:29:41,
Informatiker/in,Bayerisches Landesamt für Steuern Dienststelle Nürnberg,"Nürnberg, Mittelfranken",Bayern,,10001-1003160265-S,2026-07-01,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003160265-S,2026-06-06 22:29:41,
Data Scientist,Siemens Energy Global GmbH & Co. KG,Berlin,Berlin,,15170-458395528-S,2026-07-01,https://www.arbeitsagentur.de/jobsuche/jobdetail/15170-458395528-S,2026-06-06 22:29:41,
Data Scientist,Brunel GmbH NL Mannheim,Mannheim,Baden-Württemberg,,12362-TR-282889_610932LS-S,2026-06-01,https://www.arbeitsagentur.de/jobsuche/jobdetail/12362-TR-282889_610932LS-S,2026-06-06 22:29:41,
Data Scientist,HDI AG,Hannover,Niedersachsen,,19376-44096998-410-S,2026-05-11,https://www.arbeitsagentur.de/jobsuche/jobdetail/19376-44096998-410-S,2026-06-06 22:29:41,
Data Scientist,REWE Group,Köln,Nordrhein-Westfalen,,12608-1062149-28033-1-S,2026-06-04,https://www.arbeitsagentur.de/jobsuche/jobdetail/12608-1062149-28033-1-S,2026-06-06 22:29:41,
Data Scientist,ISR Information Products AG,Hamburg,Hamburg,,12336-a26f813j0426272-S,2026-05-13,https://www.arbeitsagentur.de/jobsuche/jobdetail/12336-a26f813j0426272-S,2026-06-06 22:29:41,
