title,company,location,region,employment_type,posted_date,job_id,scraped_at
Data Scientist,FERCHAU GmbH Niederlassung Rostock,Rostock,Mecklenburg-Vorpommern,N/A,2026-06-05,N/A,2026-06-06 17:19:57
Ozeanograf/in,Helmholtz-Zentrum hereon GmbH,Geesthacht,Schleswig-Holstein,N/A,2026-07-01,N/A,2026-06-06 17:19:57
Data Scientist,Hays Professional Solutions GmbH Standort Ulm,"Ulm, Donau",Baden-Württemberg,N/A,2026-05-29,N/A,2026-06-06 17:19:57
Business-Analyst/in,Deichmann,"Essen, Ruhr",Nordrhein-Westfalen,N/A,2026-06-01,N/A,2026-06-06 17:19:57
Data Scientist,E.ON SE,"Essen, Ruhr",Nordrhein-Westfalen,N/A,2026-05-29,N/A,2026-06-06 17:19:57
Data Scientist,Lidl Stiftung & Co. KG,Neckarsulm,Baden-Württemberg,N/A,2026-05-22,N/A,2026-06-06 17:19:57
Data Scientist,TIMOCOM GmbH,Erkrath,Nordrhein-Westfalen,N/A,2026-06-01,N/A,2026-06-06 17:19:57
Data Scientist,HDI AG,Hilden,Nordrhein-Westfalen,N/A,2026-05-21,N/A,2026-06-06 17:19:57
Informatiker/in,Mercedes-Benz Group AG,Sindelfingen,Baden-Württemberg,N/A,2026-09-01,N/A,2026-06-06 17:19:57
Data Scientist,Deichmann SE,"Essen, Ruhr",Nordrhein-Westfalen,N/A,2026-05-28,N/A,2026-06-06 17:19:57
Informatiker/in,SAP,N/A,N/A,N/A,2026-06-03,N/A,2026-06-06 17:19:57
Informatiker/in,SAP,N/A,N/A,N/A,2026-06-03,N/A,2026-06-06 17:19:58
Data Scientist,Alexander Thamm GmbH,München,Bayern,N/A,2026-05-19,N/A,2026-06-06 17:19:58
Data Scientist,Kaufland Dienstleistung GmbH & Co. KG,"Heilbronn, Neckar",Baden-Württemberg,N/A,2026-05-20,N/A,2026-06-06 17:19:58
Data Scientist,crossnative GmbH,Hamburg,Hamburg,N/A,2026-03-12,N/A,2026-06-06 17:19:58
Data Scientist,Siemens Energy Global GmbH & Co. KG,"Görlitz, Neiße",Sachsen,N/A,2026-04-01,N/A,2026-06-06 17:19:58
Data Scientist,IBM Client Innovation Center Germany GmbH,Köln,Nordrhein-Westfalen,N/A,2026-06-03,N/A,2026-06-06 17:19:58
Data Scientist,Lidl Dienstleistung GmbH & Co. KG,Neckarsulm,Baden-Württemberg,N/A,2026-06-01,N/A,2026-06-06 17:19:58
Data Scientist,Hays Professional Solutions GmbH Standort Frankfurt,Frankfurt am Main,Hessen,N/A,2026-05-04,N/A,2026-06-06 17:19:58
Data Scientist,STRABAG BMTI GmbH & Co. KG,Köln,Nordrhein-Westfalen,N/A,2026-05-22,N/A,2026-06-06 17:19:58
Data Scientist,CHECK24 Services Personal GmbH,"Münster, Westfalen",Nordrhein-Westfalen,N/A,2026-06-05,N/A,2026-06-06 17:19:58
Datenbankentwickler/in,Deichmann,"Essen, Ruhr",Nordrhein-Westfalen,N/A,2026-06-01,N/A,2026-06-06 17:19:58
Data-Warehouse-Analyst/in,Ipsos GmbH,Bonn,Nordrhein-Westfalen,N/A,2026-05-20,N/A,2026-06-06 17:19:58
Data Scientist,Verlag Herder GmbH,München,Bayern,N/A,2026-06-02,N/A,2026-06-06 17:19:58
Data Scientist,Zalando SE,Berlin,Berlin,N/A,2026-04-30,N/A,2026-06-06 17:19:58
Data Scientist,Hays Professional Solutions GmbH,Poing bei München,Bayern,N/A,2026-05-28,N/A,2026-06-06 17:19:58
Mathematiker/in,HUK-COBURG VVaG,Coburg,Bayern,N/A,2026-03-06,N/A,2026-06-06 17:19:58
Beamter/Beamtin - Länder (höherer Dienst),Landesrechnungshof Nordrhein-Westfalen,Düsseldorf,Nordrhein-Westfalen,N/A,2026-06-17,N/A,2026-06-06 17:19:58
Leiter/in - Asset Management,50Hertz Transmission GmbH AD Berlin,Berlin,Berlin,N/A,2026-06-05,N/A,2026-06-06 17:19:58
Data Engineer,expertum GmbH,Hamburg,Hamburg,N/A,2026-06-15,N/A,2026-06-06 17:19:58
Data Scientist,Rheinmetall AG,Bremen,Bremen,N/A,2026-03-18,N/A,2026-06-06 17:19:58
Data Scientist,Heynberg GmbH,München,Bayern,N/A,2026-04-30,N/A,2026-06-06 17:19:58
Data Scientist,drjve AG,Köln,Nordrhein-Westfalen,N/A,2026-05-25,N/A,2026-06-06 17:19:58
Data Scientist,ARAG Krankenversicherungs-AG,München,Bayern,N/A,2026-06-03,N/A,2026-06-06 17:19:58
Data Scientist,CreditPlus Bank AG,Stuttgart,Baden-Württemberg,N/A,2026-04-22,N/A,2026-06-06 17:19:58
Data Scientist,Siemens Energy Global GmbH & Co. KG,Mülheim an der Ruhr,Nordrhein-Westfalen,N/A,2026-04-01,N/A,2026-06-06 17:19:58
